Name	Have	Short name	Max rarity	Rarity	Level	Immortal	Equipment	Tier	In portal	Collections	Voyage rank	Gauntlet rank	Command core	Command min	Command max	Diplomacy core	Diplomacy min	Diplomacy max	Engineering core	Engineering min	Engineering max	Medicine core	Medicine min	Medicine max	Science core	Science min	Science max	Security core	Security min	Security max	Traits	Action name	Boosts	Amount	Initialize	Duration	Cooldown	Bonus Ability	Trigger	Uses per Battle	Handicap Type	Handicap Amount	Accuracy	Crit Bonus	Crit Rating	Evasion	Charge Phases
Bartender Guinan	TRUE	Guinan	5	2	100	0	0 1 2 3	3	FALSE	A New Challenger Approaches	110	13	0	0	0	703	405	825	0	0	0	469	269	685	0	0	0	379	114	227	["Communicator","Civilian","Counselor","Marksman","Empath","Bartender","El-Aurian","nonhuman","female","organic","tng","guinan","gauntlet_jackpot","crew_max_rarity_5"]	I Listen	Evasion	8	12	12	20	Immediately repairs Hulls by 20%	None		Accuracy	3	515	175	80	655	
Gloria	TRUE	Guinan	5	5	100	0	0 1 2 3	7	TRUE	The Big Goodbye	214	56	1011	232	447	1225	314	606	0	0	0	541	113	252	0	0	0	0	0	0	["Communicator","Civilian","Counselor","Bartender","Empath","Costumed","El-Aurian","nonhuman","female","organic","tng","guinan","crew_max_rarity_5"]	Gloria From Cleveland	Attack	7	6	12	12	Increase bonus boost by +4	Position				1540	160	110	450	
Nexus Guinan	TRUE	Guinan	4	4	100	1	0 1 2 3	7	TRUE		535	776	0	0	0	733	96	158	0	0	0	964	93	275	517	54	106	0	0	0	["Communicator","Counselor","Civilian","Spiritual","Empath","El-Aurian","nonhuman","female","organic","tng","guinan","crew_max_rarity_4"]	You Can Go Anywhere, Anytime	Evasion	9	8	8	10				Accuracy	3	305	165	168	450	
Danara Pel	TRUE	Danara	4	4	100	1	0 1 2 3	10	TRUE	Do No Harm	780	745	0	0	0	0	0	0	0	0	0	743	172	490	717	54	141	0	0	0	["Hologram","Physician","Vidiian","Desperate","Geneticist","female","nonhuman","voy","danara","crew_max_rarity_4"]	Just A Disease	Attack	8	16	12	10						750	210	175	340	
Danara Pel	TRUE	Danara	4	1	1	0		10	TRUE	Do No Harm	780	745	0	0	0	0	0	0	0	0	0	60	16	33	49	12	25	0	0	0	["Hologram","Physician","Vidiian","Desperate","Geneticist","female","nonhuman","voy","danara","crew_max_rarity_4"]	Just A Disease	Attack	8	16	12	10						750	210	175	340	
Keyla Detmer	TRUE	Detmer	4	4	100	1	0 1 2 3	5	TRUE	The Eugenics Wars	511	595	994	119	295	0	0	0	698	114	241	0	0	0	0	0	0	396	113	218	["Starfleet","Federation","Pilot","Human","Explorer","Engineered","female","organic","dsc","bridge_crew","lieutenant","detmer","crew_max_rarity_4"]	Fly Good	Attack	5	10	10	12	+1500 to Crit Rating	None				365	200	60	300	
Rianna Mayweather	TRUE	Rianna	4	4	100	1	0 1 2 3	7	TRUE	Spit and Bailing Wire	632	662	0	0	0	547	92	185	651	96	202	730	125	286	0	0	0	0	0	0	["Human","Civilian","Resourceful","Boomer","Communicator","Nurse","Jury Rigger","female","organic","ent","crew_max_rarity_4"]	Whatever it Takes	Evasion	5	12	12	20	Immediately repairs Hulls by 20%	None				400	575	345	1250	
Martia	TRUE	Martia	4	4	100	1	0 1 2 3	10	TRUE		739	684	0	0	0	827	198	405	0	0	0	0	0	0	0	0	0	733	115	233	["Chameloid","Shapeshifter","Crafty","Survivalist","Criminal","Scoundrel","Prisoner","nonhuman","female","organic","martia","tos","crew_max_rarity_4"]	That Was Not His Knee	Evasion	6	14	10	14	+15% to Attack Speed	Position				475	325	235	529	
Captain Klaa	TRUE	Klaa	4	4	100	1	0 1 2 3	9	TRUE		766	672	856	181	385	0	0	0	0	0	0	0	0	0	0	0	0	600	115	289	["Klingon","Hunter","Tactician","Duelist","nonhuman","male","organic","captain","tos","klaa","crew_max_rarity_4"]	Warrior's Mettle	Attack	6	12	8	14	Increase bonus boost by +5	Cloak				650	250	125	525	
Dr. Toby Russell	TRUE	Dr. Russell	4	4	100	1	0 1 2 3	9	TRUE	Do No Harm	652	198	374	147	301	0	0	0	0	0	0	657	233	532	536	122	281	0	0	0	["Federation","Civilian","Human","Neurologist","Geneticist","Maverick","Physician","female","organic","tng","crew_max_rarity_4"]	Questionable Ethics	Accuracy	9	12	10	12				Attack	2	350	940	264	175	
Lenara Kahn	TRUE	Lenara	5	4	40	0		10	TRUE		369	528	0	0	0	297	24	58	0	0	0	0	0	0	355	54	75	0	0	0	["Trill","Astrophysicist","Romantic","nonhuman","female","organic","ds9","lenara","crew_max_rarity_5"]	I'm Not Like You	Evasion	10	8	8	8						315	200	150	490	
Subcommander T'Rul	TRUE	T'Rul	4	4	100	1	0 1 2 3	6	TRUE	The Neutral Zone, Valor in Combat	641	471	0	0	0	0	0	0	979	68	111	0	0	0	354	68	179	437	202	643	["Romulan","Veteran","Resourceful","Tactician","nonhuman","female","organic","trul","tng","commander","crew_max_rarity_4"]	Not Here To Make Friends	Attack	7	12	10	12	Increase bonus boost by +2	Position		Evasion	3	425		223	340	
Ensign Ro	TRUE	Ro	2	2	100	1	0 1 2 3	4	TRUE	Uncommon Crew	951	954	370	52	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	["Starfleet","Bajoran","Resourceful","nonhuman","female","organic","tng","ensign","bridge_crew","ro","crew_max_rarity_2"]	Separate Ways	Attack	4	3	10	5			2			130	210	13	200	
Maquis Ro Laren	TRUE	Ro	4	4	100	1	0 1 2 3	9	TRUE		571	345	644	115	298	315	149	272	0	0	0	0	0	0	0	0	0	877	160	428	["Maquis","Bajoran","Survivalist","Saboteur","Desperate","nonhuman","female","organic","tng","ro","crew_max_rarity_4"]	Not Sure Where I Stand	Evasion	6	12	12	16	+12000 to Crit Bonus	None				280	95	20	515	
Shinzon	TRUE	Shinzon	5	4	100	0	0 1 2 3	10	TRUE		320	133	747	106	272	560	199	441	0	0	0	0	0	0	0	0	0	914	210	500	["Human","Clone","Reman","Villain","male","organic","tng","shinzon","crew_max_rarity_5"]	Destiny Complete	Attack	7	14	3	14	Immediately deals 400% damage	Cloak				1325	545	365	1050	
Will Riker	TRUE	Riker	1	1	100	1	0 1 2 3	10	TRUE	Common Crew	943	936	289	47	124	0	0	0	0	0	0	0	0	0	0	0	0	145	25	85	["Human","Federation","Starfleet","Maverick","Gambler","Romantic","Trill","Ambassador","male","organic","nonhuman","tng","commander","bridge_crew","first_officer","riker","crew_max_rarity_1"]	Poker Face	Attack	1	8	10	14	+500 to Crit Rating	None				455		425	340	
Lt. Thomas Riker	TRUE	Riker	1	1	100	1	0 1 2 3	9	TRUE	Common Crew	941	958	0	0	0	0	0	0	230	17	67	0	0	0	0	0	0	290	21	64	["Human","Federation","Starfleet","Survivalist","Resourceful","Desperate","Romantic","male","organic","tng","lieutenant","riker","crew_max_rarity_1"]	Wait a Little Longer	Evasion	1	0	10	14	Shield regeneration +250	None				230	100	120	95	After 4s Shield regeneration +500; After 10s Shield regeneration +900
Commander Riker	TRUE	Riker	2	2	100	1	0 1 2 3	7	TRUE	Uncommon Crew	887	858	321	88	216	334	25	72	0	0	0	0	0	0	0	0	0	144	33	102	["Human","Federation","Starfleet","Pilot","Maverick","Gambler","Romantic","male","organic","tng","commander","bridge_crew","first_officer","riker","crew_max_rarity_2"]	Liase	Attack	2	8	10	14	+10000 to Crit Bonus	None				645	50	295	275	
Admiral Riker	TRUE	Riker	5	3	100	0	0 1 2 3	9	TRUE		279	16	760	289	610	224	205	547	0	0	0	0	0	0	0	0	0	618	238	469	["Human","Federation","Starfleet","Pilot","Maverick","Gambler","male","organic","tng","admiral","bridge_crew","riker","crew_max_rarity_5"]	Liase	Attack	5	8	10	14	+10000 to Crit Bonus	None				820	615	245	265	
Angel I Riker	TRUE	Riker	4	4	60	0	1 3	9	TRUE		727	515	414	56	157	320	38	119	0	0	0	0	0	0	0	0	0	0	0	0	["Human","Federation","Starfleet","Pilot","Maverick","Romantic","Gambler","male","organic","tng","commander","bridge_crew","riker","crew_max_rarity_4"]	Stay Execution	Attack	7	6	12	12	+5000 to Crit Bonus	None	2			150	75	200	265	
Jazz Musician Riker	TRUE	Riker	3	3	100	1	0 1 2 3	5	TRUE	Rare Crew	864	805	515	129	287	331	76	215	0	0	0	0	0	0	0	0	0	0	0	0	["Federation","Human","Musician","Starfleet","Pilot","Maverick","Gambler","Romantic","male","organic","tng","bridge_crew","riker","crew_max_rarity_3"]	Calculated Risk	Attack	7	8	10	12				Evasion	2	320	270	280	215	
Augment Riker	TRUE	Riker	4	4	100	1	0 1 2 3	5	TRUE	The Eugenics Wars, Spit and Bailing Wire, Timelines' Originals	637	377	382	71	146	0	0	0	672	233	569	0	0	0	0	0	0	657	122	251	["Human","Augments","Engineered","Gambler","Desperate","Maverick","Jury Rigger","Survivalist","male","organic","tng","ent","pic","riker","original","crew_max_rarity_4"]	Last Chance	Accuracy	7	10	10	12						375	305	217	330	
Mintakan Riker	TRUE	Riker	5	3	100	0	0 1 2 3	8	TRUE	Live Long and Prosper	278	229	414	44	82	726	174	355	0	0	0	0	0	0	0	0	0	870	298	624	["Human","Federation","Starfleet","Survivalist","Hunter","Costumed","Undercover Operative","Vulcan","Mintakan","male","organic","tng","bridge_crew","riker","crew_max_rarity_5"]	Proto-Vulcan Instincts	Accuracy	7	10	10	14	+15% to Attack Speed	None				530	230	250	415	
Anbo-jyutsu Riker	TRUE	Riker	4	4	30	0	1 2	9	TRUE		745	739	174	15	38	0	0	0	0	0	0	0	0	0	0	0	0	233	22	53	["Human","Federation","Starfleet","Duelist","Pilot","Maverick","Romantic","Gambler","male","organic","tng","commander","bridge_crew","first_officer","riker","crew_max_rarity_4"]	The Ultimate Evolution	Evasion	7	14	12	14	+12000 to Crit Bonus	None				315	230	135	415	
Desperate Riker	TRUE	Riker	4	4	100	1	0 1 2 3	4	TRUE	Valor in Combat	522	584	1033	92	243	0	0	0	586	171	364	0	0	0	0	0	0	448	68	176	["Human","Federation","Starfleet","Desperate","Brutal","Survivalist","Veteran","Crafty","male","organic","tng","bridge_crew","riker","crew_max_rarity_4"]	We've Encountered A Quantum Anomaly	Attack	6	6	8	10	Increase bonus boost by +3	Position				400	170	60	530	
Riker Q	TRUE	Riker	4	4	100	0	0 1 2 3	3	TRUE		523	915	509	16	50	1119	52	120	0	0	0	0	0	0	0	0	0	800	48	100	["Q Continuum","Human","Federation","Starfleet","Pilot","Maverick","Gambler","Romantic","male","organic","tng","bridge_crew","riker","crew_max_rarity_4"]	And That's Not All	Accuracy	7	8	10	10						580	225	130	415	
Protomorphosis Riker	TRUE	Riker	4	1	10	0		7	TRUE		691	767	56	12	25	0	0	0	0	0	0	0	0	0	0	0	0	86	13	25	["Human","Federation","Starfleet","Brutal","Gambler","Primal","Desperate","male","organic","tng","bridge_crew","riker","crew_max_rarity_4"]	Devolution	Attack	7	6	8	14	Immediately deals 250% damage	None		Accuracy	3	350	125	132	125	
Little John Riker	TRUE	Riker	5	1	100	0	0 1 2 3	3	TRUE	Sherwood Forest	107	322	661	145	270	227	128	277	0	0	0	0	0	0	0	0	0	1066	221	407	["Human","Federation","Starfleet","Costumed","Thief","male","organic","tng","bridge_crew","riker","crew_max_rarity_5"]	We Need a Diversion	Attack	6	10	8	16	Immediately repairs Hulls by 25%	None				515	200	125	425	
Edith Keeler	TRUE	Keeler	4	1	20	0		9	TRUE	To Boldly Go	770	312	0	0	0	78	12	25	0	0	0	101	17	43	0	0	0	0	0	0	["Civilian","Caregiver","Inspiring","Cultural Figure","Romantic","Human","female","organic","tos","keeler","crew_max_rarity_4"]	A Life Worth Living	Evasion	7	8	10	8						690	25	52	440	
Ensign Tuvok	TRUE	Tuvok	1	1	100	1	0 1 2 3	8	TRUE	Live Long and Prosper, Common Crew	945	907	0	0	0	159	37	84	0	0	0	0	0	0	210	58	223	0	0	0	["Vulcan","Federation","Starfleet","Telepath","nonhuman","male","organic","voy","ensign","bridge_crew","tuvok","crew_max_rarity_1"]	Memory	Attack	1	1	14	10						103	60	135	375	
Security Chief Tuvok	TRUE	Tuvok	3	3	100	1	0 1 2 3	5	TRUE	Live Long and Prosper, Rare Crew	834	770	335	60	182	0	0	0	0	0	0	0	0	0	168	51	168	516	98	231	["Vulcan","Federation","Starfleet","Telepath","Tactician","Investigator","nonhuman","male","organic","voy","lieutenant_commander","bridge_crew","tuvok","crew_max_rarity_3"]	Contingency Plan	Attack	4	10	12	16	+10000 to Crit Bonus	None				465	50		300	
Disguised Tuvok	TRUE	Tuvok	4	4	100	1	0 1 2 3	6	TRUE	Live Long and Prosper	629	206	337	77	219	0	0	0	0	0	0	0	0	0	802	165	461	486	232	459	["Vulcan","Federation","Starfleet","Telepath","Resourceful","Costumed","Tactician","nonhuman","male","organic","voy","lieutenant_commander","bridge_crew","tuvok","crew_max_rarity_4"]	Ethics of Time Travel	Attack	6	12	12	16	+12000 to Crit Bonus	None				565	255	90	225	
Assimilated Tuvok	TRUE	Tuvok	4	4	100	0	1	3	TRUE	Resistance Is Futile, Live Long and Prosper	551	418	626	106	263	0	0	0	0	0	0	0	0	0	324	105	268	851	71	153	["Vulcan","Borg","Telepath","Brutal","Tactician","Undercover Operative","nonhuman","male","organic","voy","tuvok","crew_max_rarity_4"]	Resistance is Illogical!	Attack	9	14	20	12			1			650	200	135	425	
Maquis Tuvok	TRUE	Tuvok	5	2	60	0		7	TRUE	Live Long and Prosper	264	187	131	32	120	0	0	0	0	0	0	0	0	0	248	66	158	367	85	217	["Vulcan","Maquis","Telepath","Costumed","Tactician","Undercover Operative","nonhuman","male","organic","voy","tuvok","crew_max_rarity_5"]	Et Tuvok	Attack	8	10	3	14	+1300 to Crit Rating	Position				450	100	65	375	
Resilient Tuvok	TRUE	Tuvok	5	1	50	0		4	TRUE	Live Long and Prosper	119	568	0	0	0	0	0	0	280	42	100	0	0	0	117	17	66	202	23	85	["Vulcan","Telepath","Tactician","Starfleet","Federation","Hero","Survivalist","nonhuman","male","organic","voy","tuvok","crew_max_rarity_5"]	The Captain Is Always Right	Accuracy	8	10	10	12	+20% to Attack Speed	None				275	100	113	300	
Major Kira	TRUE	Kira	2	2	100	1	0 1 2 3	7	TRUE	Valor in Combat, Uncommon Crew	910	893	314	42	142	0	0	0	0	0	0	0	0	0	0	0	0	353	69	202	["Bajoran","Veteran","Resourceful","nonhuman","female","organic","ds9","kira","crew_max_rarity_2"]	Obstinance	Attack	2	0	10	14	Shield regeneration +250	None				295	150	5		After 4s Shield regeneration +500; After 7s Shield regeneration +900
Disguised Kira	TRUE	Kira	5	1	20	0		8	TRUE		415	358	0	0	0	124	19	38	0	0	0	0	0	0	0	0	0	161	26	59	["Bajoran","Saboteur","Marksman","Undercover Operative","nonhuman","female","organic","ds9","kira","crew_max_rarity_5"]	False Promises	Evasion	7	12	10	14	Increase boarding damage by 14%	Boarding				415	375	175	400	
Cardassian Kira	TRUE	Kira	4	4	100	1	0 1 2 3	9	TRUE	Chain of Command	644	294	523	192	363	437	45	133	0	0	0	0	0	0	0	0	0	681	222	528	["Bajoran","Cardassian","Obsidian Order","Saboteur","Crafty","Prisoner","nonhuman","female","organic","ds9","kira","crew_max_rarity_4"]	Closest Thing to Family	Accuracy	9	12	12	12				Evasion	2	250	200	180	475	
Niners Kira Nerys	TRUE	Kira	4	4	100	1	0 1 2 3	5	TRUE	Valor in Combat, Play Ball!	550	556	866	191	412	354	123	257	0	0	0	0	0	0	0	0	0	782	61	103	["Bajoran","Athlete","Costumed","Veteran","nonhuman","female","organic","ds9","kira","niners","crew_max_rarity_4"]	Double Play	Accuracy	5	12	12	20	Immediately repairs Hulls by 15%	None				150	245	122	580	
Anastasia Komananov	TRUE	Anastasia	4	4	100	0	0 1 2 3	8	TRUE	Our Man Bashir	742	761	0	0	0	902	131	263	0	0	0	0	0	0	0	0	0	712	141	281	["Bajoran","Hologram","Undercover Operative","Costumed","Romantic","Crafty","nonhuman","female","ds9","kira","crew_max_rarity_4"]	You've Destroyed Ze World!	Attack	8	6	6	10				Accuracy	2	575	310	131	365	
Decoy Kira	TRUE	Kira	5	2	20	0	2 3	4	TRUE		116	450	68	12	28	163	26	54	0	0	0	0	0	0	0	0	0	130	21	49	["Bajoran","Costumed","Romantic","Crafty","nonhuman","female","organic","ds9","kira","crew_max_rarity_5"]	I Never Kiss And Tell	Attack	7	12	10	14	+2000 to Crit Rating	None				215	270	140	365	
Security Chief Worf	TRUE	Worf	2	2	100	1	0 1 2 3	3	TRUE	Uncommon Crew	916	888	236	64	163	0	0	0	0	0	0	0	0	0	0	0	0	378	70	167	["Klingon","Federation","Starfleet","Duelist","Investigator","nonhuman","male","organic","tng","lieutenant","bridge_crew","worf","crew_max_rarity_2"]	They Have No Honor	Accuracy	4	8	10	12				Evasion	2	165	280	95	155	
Defiant Commander Worf	TRUE	Worf	4	4	100	1	0 1 2 3	8	TRUE		782	290	419	272	551	0	0	0	0	0	0	0	0	0	0	0	0	706	206	453	["Klingon","Federation","Starfleet","Duelist","Tactician","nonhuman","male","organic","ds9","lieutenant_commander","bridge_crew","worf","crew_max_rarity_4"]	Good Day to Die	Accuracy	6	12	12	12	+2000 to Crit Rating	None		Evasion	2	690	645	325	205	
Mirror Regent Worf	TRUE	Worf	5	1	30	0		7	TRUE	Chain of Command, Smoke and Mirrors	405	199	129	20	44	0	0	0	0	0	0	0	0	0	0	0	0	197	32	71	["Klingon","Cardassian","Tactician","Villain","Brutal","Klingon-Cardassian Alliance","Mirror Universe","nonhuman","male","organic","ds9","mirror","bridge_crew","worf","crew_max_rarity_5"]	Position of Strength	Attack	9	8	8	10						300	980	390		
Ba'ku Worf	TRUE	Worf	4	4	100	1	0 1 2 3	6	TRUE		711	706	629	134	307	0	0	0	0	0	0	0	0	0	0	0	0	1046	136	344	["Klingon","Federation","Starfleet","Tactician","Desperate","nonhuman","male","organic","tng","lieutenant_commander","bridge_crew","worf","crew_max_rarity_4"]	Aggressive Tendencies	Attack	6	8	5	14	Immediately deals 200% damage	None				550	325	60	305	
Duchamps	TRUE	Duchamps	4	4	100	1	0 1 2 3	9	TRUE	Our Man Bashir	582	384	448	69	169	802	223	450	0	0	0	0	0	0	0	0	0	588	150	307	["Klingon","Hologram","Gambler","Villain","Crafty","Duelist","nonhuman","male","ds9","worf","crew_max_rarity_4"]	Chemin De Fer	Accuracy	5	10	10	10	Increase boarding damage by 30%	Boarding				550	40	142	575	
Sheriff Worf	TRUE	Worf	4	4	100	1	0 1 2 3	4	TRUE	The Wild West, Holodeck Enthusiasts	564	714	923	119	278	474	35	107	0	0	0	0	0	0	0	0	0	704	122	250	["Klingon","Starfleet","Federation","Costumed","Duelist","Constable","male","organic","tng","worf","nonhuman","lieutenant_commander","bridge_crew","crew_max_rarity_4"]	Sheriff of Deadwood	Accuracy	6	12	12	12	+15% to Attack Speed	Cloak				620	390	72	600	
Protomorphosis Worf	TRUE	Worf	5	2	30	0		7	TRUE		390	529	150	38	75	0	0	0	0	0	0	0	0	0	0	0	0	213	33	84	["Klingon","Federation","Starfleet","Brutal","Primal","Hunter","Desperate","nonhuman","male","organic","tng","bridge_crew","worf","crew_max_rarity_5"]	Protomorphosis	Attack	10	8	10	12				Accuracy	2	200	195	140	375	
Niners Worf	TRUE	Worf	5	1	10	0		8	TRUE	Play Ball!	321	283	46	9	35	85	19	38	0	0	0	0	0	0	0	0	0	103	25	53	["Klingon","Athlete","Federation","Starfleet","nonhuman","male","organic","ds9","bridge_crew","worf","niners","crew_max_rarity_5"]	Find Him And Kill Him!	Attack	6	8	6	12	+2000 to Crit Rating	None				300	105	225	490	
Tourist Worf	TRUE	Worf	3	3	100	1	0 1 2 3	6	TRUE	Rare Crew	842	876	613	70	181	0	0	0	0	0	0	0	0	0	0	0	0	448	64	184	["Federation","Starfleet","Klingon","Saboteur","Romantic","male","nonhuman","organic","ds9","bridge_crew","worf","crew_max_rarity_3"]	I Didn't Bring A Bathing Suit	Evasion	4	10	8	10	Immediately deals 400% damage	Cloak				25	100	173	90	
Age of Sail Worf	TRUE	Worf	5	1	80	0		3	TRUE	Set Sail!	56	302	308	72	205	189	31	89	0	0	0	0	0	0	0	0	0	658	99	256	["Klingon","Tactician","Federation","Starfleet","Costumed","ageofsail","nonhuman","male","organic","tng","bridge_crew","worf","crew_max_rarity_5"]	I am Prepared	Evasion	7	8	8	10	+1100 to Crit Rating	Position				380	170	200	475	
Ambassador Fox	TRUE	Fox	3	3	100	1	0 1 2 3	5	TRUE	New Life and New Civilizations, Valor in Combat, Rare Crew	849	812	405	103	233	500	102	245	0	0	0	0	0	0	0	0	0	0	0	0	["Federation","Civilian","Human","Communicator","Diplomat","Veteran","Ambassador","male","organic","tos","crew_max_rarity_3"]	Learning Quickly	Evasion	4	8	10	10	+1000 to Crit Rating	None				515			605	
Lieutenant Commander Saru	TRUE	Saru	2	2	100	1	0 1 2 3	4	TRUE	Uncommon Crew	902	908	315	24	104	0	0	0	0	0	0	0	0	0	405	70	202	0	0	0	["Kelpien","Federation","Starfleet","Exobiology","Survivalist","male","nonhuman","organic","dsc","saru","crew_max_rarity_2"]	Kelpien Instincts	Accuracy	2	6	6	12	Shield regeneration +800	None				77	100	75	570	
First Officer Saru	TRUE	Saru	4	2	100	0	0 1 2 3	7	TRUE		707	632	483	84	270	0	0	0	0	0	0	0	0	0	722	220	468	0	0	0	["Kelpien","Federation","Starfleet","Exobiology","Survivalist","male","nonhuman","organic","dsc","saru","crew_max_rarity_4"]	Vigilance Equals Survival	Evasion	9	8	8	10				Accuracy	3	325	300	55	690	
Kaminar Saru	TRUE	Saru	4	4	100	1	0 1 2 3	3	TRUE	Spit and Bailing Wire, The Daystrom Award	514	626	0	0	0	462	60	121	979	150	316	0	0	0	670	118	290	0	0	0	["Kelpien","Civilian","Resourceful","Jury Rigger","Innovator","Survivalist","male","nonhuman","organic","dsc","saru","crew_max_rarity_4"]	I Saw Hope In The Stars	Evasion	8	4	6	8				Attack	3	365	200	20	140	
Dejaren	TRUE	Dejaren	4	3	100	0	0 1 2 3	4	TRUE		435	334	531	177	401	0	0	0	0	0	0	0	0	0	375	61	167	889	183	446	["Brutal","Hologram","Crafty","Desperate","Saboteur","male","artificial_life","nonhuman","voy","dejaren","crew_max_rarity_4"]	You're Getting Blood Everywhere	Attack	7	6	8	12	Immediately deals 200% damage	None				140	125	137	300	
Yeoman Rand	TRUE	Rand	1	1	100	1	0 1 2 3	10	TRUE	Common Crew	953	957	189	17	66	135	21	68	0	0	0	0	0	0	0	0	0	0	0	0	["Federation","Starfleet","Human","female","organic","tos","yeoman","bridge_crew","rand","crew_max_rarity_1"]	Signature Required	Accuracy	2	8	10	12				Evasion	1	375			180	
Transporter Chief Rand	TRUE	Rand	4	4	20	0	1 2 3	10	TRUE		724	791	0	0	0	113	16	33	164	18	41	0	0	0	0	0	0	0	0	0	["Human","Federation","Starfleet","Desperate","female","organic","tos","rand","crew_max_rarity_4"]	Yank Them Back!	Evasion	8	8	8	10						475	275	155	242	
The Duras Sisters	TRUE	Duras Sisters	4	4	100	1	0 1 2 3	8	FALSE		631	268	358	94	232	534	192	385	0	0	0	0	0	0	0	0	0	763	173	443	["Klingon","Scoundrel","Villain","nonhuman","female","organic","tng","betor","lursa","crew_max_rarity_4"]	The Power of Two	Attack	9	10	20	12			1			350	110	190	500	
